#
#
# US Geological Survey
# retrieved: 2020-01-25 17:36:39 EST
# URL: https://nwis.waterdata.usgs.gov/co/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in Colorado.
#
# The following selected fields are included in this output:
#
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  lat_va          -- DMS latitude
#  long_va         -- DMS longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  state_cd        -- State code
#  map_nm          -- Name of location map
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  peak_begin_date -- Peak-streamflow data begin date
#  peak_end_date   -- Peak-streamflow data end date
#  peak_count_nu   -- Peak-streamflow data count
#
#
# query started 2020-01-25 17:36:39 EST
#
# there are 339 sites matching the search criteria.
#
#
site_no	station_nm	lat_va	long_va	coord_acy_cd	coord_datum_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	state_cd	map_nm	alt_va	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	peak_begin_date	peak_end_date	peak_count_nu
15s	50s	11s	12s	1s	10s	16n	16n	1s	10s	2s	20s	8s	3s	10s	16s	2s	10d	10d	8n
06614800	MICHIGAN RIVER NEAR CAMERON PASS, CO	402946	1055152	F	NAD27	40.49609409	-105.86501190	F	NAD83	08	FALL RIVER PASS, CO	 10390			10180001	co01	1974-06-18	2019-07-01	46
06620000	NORTH PLATTE RIVER NEAR NORTHGATE, CO	405611.9	1062021.1	S	NAD83	40.93663889	-106.33919440	S	NAD83	08	NORTHGATE	 7810.39			10180001	wy09	1904-05-26	2017-06-13	104
06696980	TARRYALL CREEK AT UPPER STATION NEAR COMO, CO	392022	1055440	F	NAD27	39.33943296	-105.91168130	F	NAD83	08	COMO, CO	 9935			10190001	co01	1978-06-15	2019-06-13	27
06700000	SOUTH PLATTE RIVER ABOVE CHEESMAN LAKE, CO.	390946	1051835	F	NAD27	39.16276858	-105.31027320	F	NAD83	08	CHEESMAN LAKE	 6845.86			10190002	co01	1925-07-23	2019-06-25	36
06701620	TROUT CREEK BLW FERN CR NR WESTCREEK, CO.	391003	1050718	F	NAD27	39.16749104	-105.12221120	F	NAD83	08	DAKAN MOUNTAIN	 7440			10190002	co01	2003-05-20	2019-07-26	17
06701700	WEST CR. ABV SHREWSBURY GULCH NR WESTCREEK CO	390843.53	1050936.04	1	NAD83	39.14542500	-105.16001110	1	NAD83	08	WESTCREEK, CO	 7512			10190002	co01	2003-08-31	2019-04-10	17
06701900	SOUTH PLATTE RIVER BLW BRUSH CRK NEAR TRUMBULL, CO	391536	1051317	F	NAD27	39.25999025	-105.22193790	F	NAD83	08	DECKERS CO	 6380			10190002	co01	2002-07-21	2018-07-05	17
06708600	WEST PLUM CREEK NEAR PERRY PARK, CO	391534.10	1045706.85	S	NAD83	39.25947220	-104.95190280	S	NAD83	08	DAWSON BUTTE, CO	 6340			10190002	co01	2010-04-29	2019-04-29	10
06708690	WEST PLUM CREEK AT SEDALIA, CO	392545.4	1045804.0	1	NAD83	39.42927778	-104.96777780	1	NAD83	08	SEDALIA, CO	 5763			10190002	co01	2015-06-12	2019-04-26	5
06708800	EAST PLUM CR ABV HASKINS GULCH NR CASTLE ROCK, CO	392522.8	1045416.6	5	NAD83	39.42300000	-104.90461110	5	NAD83	08	SEDALIA, CO	 5960			10190002	co01	2000-08-31	2018-07-17	19
06709000	PLUM CREEK NEAR SEDALIA, CO.	392618	1045857	M	NAD27	39.43832246	-104.98303870	M	NAD83	08		 5720			10190002	co01	1942-04-19	2018-07-17	34
06709530	PLUM CREEK AT TITAN ROAD NEAR LOUVIERS, CO	393026.53	1050128.08	5	NAD83	39.50736944	-105.02446670	5	NAD83	08	LITTLETON, CO	 5520			10190002	co01	1984-05-15	2018-07-18	35
06709740	LEE GULCH AT LITTLETON, CO	393546.0	1050057.7	5	NAD83	39.59611110	-105.01602780	5	NAD83	08	LITTLETON, CO	 5365			10190002	co01	1981	2019-07-01	38
06709910	DUTCH CR AT PLATTE CANYON DRIVE NEAR LITTLETON, CO	393600.4	1050230.92	S	NAD83	39.60011110	-105.04192220	S	NAD83	08	LITTLETON, CO	 5360			10190002	co01	1985	2019-07-01	34
06710150	BIG DRY CREEK BELOW C-470 AT HIGHLANDS RANCH, CO	393348	1045538	R	NAD27	39.56332160	-104.92775800	R	NAD83	08	HIGHLANDS RANCH	 5675			10190002	co01	2004-08-18	2019-09-06	16
